text_processed,sentiment,label,score,text_length,word_count
bukan tempo yg menjelek kan pemerintah tapi pemerintah yg menjelek kan diri mereka sendiri ini menurut keyakinan saya,Netral,1,0,120,16
presiden prabowo keliru mengidentifikasi musuh masa rakyatnya sendiri dijadikan musuh sungguh absurd,Negatif,0,-2,106,14
presiden yang pandainya hanya omon omon kosong tubuhnyapun sudah menunjukkan otong kosong nyaring bunyinya,Negatif,0,-4,119,17
nyawit sekali memang,Netral,1,0,23,4
salam bahagia enakan berteman dengan voc daripada antek asing,Negatif,0,-2,71,11
npd,Netral,1,0,3,1
setahuku yea inilah yang pro an as,Netral,1,0,35,7
prosedur masuk nya imigran yaman ke indonesia juga perlu diperiksa surat nya,Netral,1,0,78,12
antek asing antek aseeng lu kali wo yang antek asing wkookwowkoko suka lu dah,Negatif,0,-4,80,14
semoga saja jika makin banyak warga negara asing yg suka atau menjadikan indonesia sebagai pilhan negara yg favorit untuk didatangi kita memang bisa merasa bangga tapi juga tidak terlena dgn fenomena tsb yg bisa lupa tidak waspada dgn situasi karna baru saja ada berita tentang tertangkap nya imigran seorang pria rumania di bali karna dia telah jadi buronan di seantero eropah terkait kasus perampasan sadis dan pembunuhan berencana bersama dgn teman nya dua orang yg sdh lebih dulu tertangkap di irlandia dan skotlandia akupun salut dgn kesigapan aparat intelijen kita terbayang kalau pelaku kriminal tsb bisa lama luntang lantung di nkri karna bisa saja dia nekat melibatkan penduduk kita kembali berbuat kejahatan,Netral,1,0,729,114
teriak sikat antek asing pada saat yang sama menjilat asing kenapa harus bermuka dua,Negatif,0,-4,90,14
gimana ya cara ngasih tahu teman bahwa pilihan politik itu mempengaruhi hidup sempet kesel denger siapapun pemerintahnya hidup gini aja,Netral,1,0,138,20
jadi narasi at propaganda asing dilakukan secara sadar at tidak sadar dapat merusak suatu negara dari dalam propaganda at narasi bisa dilakukan jelas jelas dilakukan oleh sumber negara tapi bisa jadi tidak dilakukan negara tapi kelompok yang punya kepentingan negara at mungkin pendapat ahli dari suatu negara yang tak mewakili negara namun pendapat membangun narasi yang jelek bagi negara lain apakah ini dibendung dg hukuman at perlawanan dg data saja,Netral,1,0,457,69
fb sudah melakukan itu dg adanya notice bahwa komentar anda tidak terlihat di negara tertentu,Netral,1,0,95,15
warning hrs klo indonesia jadi tibet jilid sudah terbukti di morowali dan maluku,Positif,2,1,83,14
pelaku kejahatan ham dipercaya jadi presiden bro tuh danantara dalio bukankah orang asing thaksin itu akhirnya dipenjara gitu jadi dewan nasihat maunya prabowo itu kita itu harus manut kayak boby kucingnya lapar tinggal ngeong lalu diberi ingin dimanja ngeong jadi ingin diberi jabatan prabowo ya harus mau jadi buzzer mereka yang saya heran ronal tanur pembunuh dengan cara melindas pakai mobil malah dapat remisi padahal sudah terbukti bersalah hakimnya malah tersangka dapat remisi logika macam apa itu jadi pembebasan ronal tanur ternyata sudah diatur oleh ibu ronal tanur dan pengacaranya dan terbukti korupsi eh presiden memberikan remisi karena berlaku sopan ketika berbicara dengan presiden edan,Negatif,0,-1,738,111
ajak ke psikiater aja biar bisa diatasi dengan baik,Positif,2,1,53,9
bahas benix dong,Netral,1,0,17,3
rambutnya baru model antek antek aseenggg,Negatif,0,-2,41,6
tempo dapat dana berapa tiap tahun dari george soros spill dong kok bisa sampe mau buat propaganda ngehancurin negara sendiri berapa sih bayarannya penasaran asli,Negatif,0,-3,168,26
menurut keyakinan saya kalian ini media provokator agen intelijen berkedok kebebasan pers pemerintah sedang berusaha membangun negara selalu aja media ini cari cari bahan utk provokasi masyarakat ga akan pernah percaya lagi sama media seperti tempo ini media seperti inilah yg membuat propaganda yg mengakibatkan kerusuhan di berbagai negara membuat negara tidak stabil,Positif,2,1,384,53
owalah tempe bacem,Netral,1,0,19,3
kalau ada media antek asing juga harus di sikat dari bumi pertiwi karna diam ada beberapa media peliharaan nya soros,Negatif,0,-3,123,21
dia pake cara trump cara fasis berkuasa dia sendiri penjilat as,Negatif,0,-2,66,11
antek dajjal teriak antek asing,Negatif,0,-4,31,5
prabowo hanya omon faktanya nol besar tida terbukti,Netral,1,0,53,9
antek asing itu yg setor uang trilyunan ke dewan an perdamaian trump bukan,Negatif,0,-3,75,12
antek asing itu ada tergantung perspektif anda menilai yang mana sekarang maling berteriak maling,Negatif,0,-4,98,14
sebut wo antek asing itu siapa negara mana aja ahahaha jadi pemimpin kok anti kritik besok pilih gen z aja udah boomers suruh pensiun,Negatif,0,-4,143,25
sedang mencoba membungkam,Negatif,0,-1,25,3
mbah wowo sendiri yg antek asing buktinya malah tunduk kepada kakek trump,Negatif,0,-3,75,11
jangan sampai kejadian di minneapolis terjadi di indonesia tercinta,Negatif,0,-1,72,10
dia yang paling teriak anti antek asing tapi sekarang dia yang jadi antek nya donald bebek dan setannyaho bahkan rela bayar mahal buat gabung kelompok mereka hampir t namanya juga presiden omon omon semuanya tersedarh dia mumpung berkuasa dan bahkan persiapan melanggengkan kekuasaanya,Negatif,0,-6,296,43
kalau ada antek antek asing siapa tangkap pataaaaahkan umumkan omon omon trusss kerja lebih baik dari pada orasi orasi yg membosankan buru itu pencapaian pertumbuhan ekonomi indonesia,Negatif,0,-4,198,25
sebarkan berita yg positif untuk energi positif indonesia,Netral,1,0,57,8
justru orang orang di sekeliling prabowo yg bisa menghancurkan ekonomi rakyat,Netral,1,0,82,11
koar koar antek asing eh tapi bayar miliaran buat gabung pbb buatan donald trump dari dulu ketujuh presiden indonesia ga mau yang mau buka hubungan diplomatik dengan israel sekarang tiba tiba kenapa presiden peduli keamanan israel yang menjajah dan buat onar itu israel ini judulnya antek netanyahu alias pemuja israel,Negatif,0,-9,323,50
bukan milyar lagi trilyun t ilang buat bayar upeti,Netral,1,0,54,9
rezim yang bilang antek asing biasanya adalah rezim yang selama dia berkuasa berbuat otoriter dan korup narasi seperti itu adalah ilusi palsu untuk menarik simpati rakyat demi legitimasi kekuasaan yang padahal rakyat tidak m memahami substansi kebijakan apa yang dibawa oleh pemerintah,Negatif,0,-4,286,42
kita harus percaya adanya antek asing siapa yg membuat kisruh negara di dunia ini klo bukan negara yg tidak ingin indonesia maju klo temp bukan antek asing ya g usah bingung,Negatif,0,-1,175,29
paranoid takut akan cermin sendiri,Negatif,0,-1,34,5
wah itu terjadi sih udh gak asing lah ulang karna pemikiran rakyat sendri sih liat iran di demo besar an kena masyarat malah di bunuh sampe an ningal dalih pemerintah apa antek asing padahal menyelamat hegemoni nya dan rakyat kita gak ada tu yg protes pemerintah iran yg udh membatai rakyat nya sendri malah menyetujui narasi pemerintah iran dan prabowo berkaca di situ kalau ada demo besar an enak dia mengangkat orng demo tu degan tuduhan antek asing,Negatif,0,-11,464,76
bodo amat mo negara ini mo perang mo hancur jg alhamdulilah krn ngapain jg rakyat hrs susah jagain negara ini dr penjajah asing toh mereka pemerintah kt jg penjajah di negara sndiri sejarah negara ini bs merdeka krn rakyatnya terjun kemedan perang krn itulah negara asing takut segan utk kembali menjajah negara kt tapi krn sifat serakah pemerintah dan mereka merasa negara ini sdh aman jd mereka meninggalkan melupakan rakyat terutama rakyat miskin jd smg aja bnr terjadi perang dunia krn sy yakin rakyat sangat senang krn rakyat jg udh capek lelah hidup dinegara miskin yg pemerintahnya hanya memkirkan diri sndiri kpentingan kel mereka aja jd klo perang nanti ya sruh preaiden dpr tni polri dan pejabat pemerintah aja lah yg turun ke medan perang saya jamin rakyat gak akan sanggup dan mau turun ke mwdan perang krn mereka lapar dan terlalu miskin utk turun membantu ke medan perang monggo silahkan klian yg merasa keluarga pejabat menteri dan dinas terkait saatnya klian membalas jasa negara yg sdh memberikan kebutuhan klian selama ini,Negatif,0,-9,1069,170
judulnya antek asing triak antek asing,Negatif,0,-4,40,6
tim tempo bahas kamboja lagi dong ini ada sekitar lebih warga kita di kbri phonm phen yg menunggu nasib dan ada wacana judol dan scam akan pindah ke sri lanka atau timor leste,Netral,1,0,183,33
hahahaha indonesia korupsi maju sampai kiamat,Netral,1,0,45,6
lengserkan segera biar ga tambah parah,Negatif,0,-1,38,6
sy sarankan ya lebih baik tiarap az bilangi bos kaliyan bisa jadi tidak lama lagi akan ada informasi aliran uang asing ke tempo dan rakyat dibuat marah ke tempo lalu di segel rakyat lah trus kaliyan bisa apa,Netral,1,0,223,34
tempo kepanasan merasa kali,Netral,1,0,32,4
musuh brsm ya jokowi dan gerombolannya yg publik blm phm apakah prabowo bagian dr termul bkn,Negatif,0,-1,101,16
nanti akan ada masanya rakyat indonesia bilang salah satu presiden terbaik indonesia adalah prabowo dan orang itu tidak lebih baik dari prabowo,Positif,2,1,146,23
antek setan,Negatif,0,-1,13,3
agustus one piece trend agustus ussocom amerika kasih penghargaan ke prabowo agustus pagi trend buzz positivity puan agustus siang agenda anomali,Netral,1,0,158,26
aki hahah pake cara jadul padahal satu negara udah tau dia penjahatnya,Netral,1,0,71,12
memang antek asing,Negatif,0,-2,18,3
ngoceh tdk ada bukti faktax yg hrs disampaikan jgn ngomong katax ckck bagusx cek gaji orang ini karyawan tetap atau outsourching,Netral,1,0,141,19
orang orang yang bikin peraturan tapi tidak pernah dijalankan sungguh pekerjaan yang mubazir,Netral,1,0,97,14
that oldman,Netral,1,0,11,2
sekarang malah gabung board of peace jadi antek asing di palestina,Negatif,0,-1,69,12
heyy antek asing yg berkomplot dengan trump,Negatif,0,-3,45,7
antek asingnya ya si gemoy siapa lagi,Negatif,0,-2,45,7
ant tech ant tech ahh sing,Negatif,0,-2,28,6
segera brantas dan ringkus semua antek asing ya jelas para media yg sering bikin gaduh lmpormasi yg tak berdasar dan sering profokasi memicuh perpecahan dan penerima dana asing dg kepentingan terselubung kepentingan gelap yg dilakukan cia as soros dan anteknya yg jelas strategi dan proyek soros,Negatif,0,-3,299,45
egy mana ini,Netral,1,0,13,3
lah dia sendiri ngejilat donald trump minta dikenalin ke anaknya trump trus sekarang malah gabung organisasi bentukan trump gak gratis loh itu ada iurannya sampe triliunan rupiah,Negatif,0,-4,186,28
jadi pot bunga jadi pulpen teddy ya ampunnn sehat sehat kak chicha,Netral,1,0,77,11
prabowo antek asing,Negatif,0,-2,21,4
semut di negara asing kelihatan antek asing di pelupuk mata tidak kelihatan,Negatif,0,-3,77,12
studio baru nich lebih enak dilihat closed up makin mudah dicerna no unnecessary distraction mantap,Positif,2,1,103,13
bagaimana kalau yang mengeluarkan disinformasi itu pejabat pemerintah sipil atau militer,Negatif,0,-1,91,11
jaman jokowi musuh bersama adalah radikal radikul jaman prabowo musuhnya antek antek asing wkwkwk,Negatif,0,-4,97,14
tetap semangat tempo,Netral,1,0,21,3
angkat topi sama tempo kok bisa yah dapat info a dari istana,Netral,1,0,63,12
si omon omon lah antek asing,Negatif,0,-4,28,6
malah join antek aseng,Negatif,0,-2,25,5
turunkan rezim omon omon fufufafa,Negatif,0,-2,37,7
si omon omon,Negatif,0,-2,16,4
yang jadi anteknya trump kok gak dibilang antek asing ya emang trump orang indonesia ya,Negatif,0,-5,89,15
kita lihat bareng arahnya dah bener pak prabowo kadang media jg dibayar asing aseng ayo ngaku,Negatif,0,-2,103,16
rakyat digiring supaya benci pada asing aseng asong bisikan syaethon disekelilingnya dengan tujuan supaya rakyat berbalik mendukungnya untuk padahal dibalik itu dia dan seisi istana berbondong antek asing diam menjual semua kekayaan alam ke asing dan uangnya bukan untuk rakyat tapi dimasukkan ke gentong dananrara untuk membuayai sahwat politiknya dan main saham di luar negeri keuntungan masuk kantong pribadi uang negara dikuasai mutlak sama dinasti gerinda nanti diambil secuil untuk bansos jelang dekat pemilu modus yang terang an diajarkan oleh suhunya mentornya,Negatif,0,-3,584,79
antara sepakat atau blank hihi,Netral,1,0,32,6
malu om sama imam samudera,Negatif,0,-1,26,5
nationalist delegitimization strategy strategi untuk mendeligitimasi kritik domestik dengan cara mengaitkannya pada musuh eksternal fungsinya mengalihkan isu dari substansi kritik korupsi konflik kepentingan kebijakan membingkai kritik sebagai ancaman kedaulatan bukan sebagai kontrol demokratis menciptakan dikotomi kita vs mereka di sisi lain ngo kecil aktivis dan media independen mudah diserang karena tidak punya kekuatan koersif tidak punya legitimasi elektoral tidak bisa membalas dengan instrumen negara sementara kekuatan besar asing atau domestik tidak disebut antek karena dibutuhkan untuk stabilitas kekuasaan dibutuhkan untuk investasi pengakuan geopolitik dan dukungan elite jadi label antek asing di sini menjadi alat politik untuk membungkam kritik nasionalisme alat retorika oligarki mitra struktural kekuatan asing dirangkul yg masalah jika mengganggu kekuasaan kritik dibingkai sebagai ancaman negara inilah logika rezim kekuasaan yang membutuhkan musuh simbolik bersama untuk bertahan,Negatif,0,-18,1043,132
ini efeknya kalo orang kebanyakan nyawit,Netral,1,0,40,6
istilah yg lazim yg sering dikatakan di era era kekuasaan soekarno itu adalah anthek imperialis dalam setiap tajuk pidato pidatonya sehingga istilah ini sesuai dengan perkembangannya menjadi istilah anthek asing di mata pak prabowo melihat sisi kewaspadaan dan kekawatiran selama ini atas cengkeraman para penguasa diluar pagar ini beliau mengganti dengan istilah anthek asing apalagi presiden kita ini gaya pidatonya yg selalu blak blakan ceplas ceplos tanpa tedeng aling aling hal ini akan sangat nampak antagonis bagi para pembencinya termasuk media ciptaan kaum olygarki yg punya tendensi mengganggu jalannya demokrasi,Negatif,0,-2,632,85
neg tenang damai tempo tdk rela,Netral,1,0,31,6
antek asing ya tempo maunya mengadu domba antar anak bangsa dgn pemerintah anak bangsa dgn anak bangsa,Negatif,0,-2,102,17
kalau kamu bisa memimpin dengan baik maka seperti apapun propaganda dari negara lain tidak akan bisa mempengaruhi masyarakat,Negatif,0,-1,124,17
ternyata dia sendiri yg antek asing,Negatif,0,-2,44,8
menciptakan musuh bersama udah kaya wicked ajaa,Netral,1,0,49,8
antek korupsi dan antek penghianat negara adalah musuh orang orang yang ber akal waras,Negatif,0,-4,88,14
padahal dia yg gabung buatan antek asing israe sama trump,Negatif,0,-3,57,10
asing itu identik dgn bangsa barat aseng itu identik dgn bangsa cina sejarah mencatat jargon nasionalis itu cuma gencar di kokopkan dijejalkan dicekokan ke rakyat sedang penguasa ngga ad masalah jual tanah air ke asing aseng cari tunjangan pensiun buat family via share hak kelola sda,Negatif,0,-5,299,46
mungkin yg dimaksud asing adalah asing buat agendanya dia dan pemerintahannya bukan negara luar tapi orang yg berfikir kritis dan cerdas yang membela kepentingan asing baca rakyat kecil,Negatif,0,-2,193,28
antek asing adalah bicara di forum dunia bahwa israel perlu dijamin keamanannya free palestine,Negatif,0,-3,99,14
yang di sebut antek asing intu orang dalam indonesia yang bekerja sama untuk menghancurkan negara bukan yang menarik investor maka nya kalau tidak faham bahasa dan wawasan sekolah dulu agar komentar nya masuk akal presiden sudah benar,Negatif,0,-2,246,38
tempo itu media antek asing kata anteknya trump,Negatif,0,-3,47,7
ikan asing dabu tumis,Negatif,0,-1,22,4
antek asing apa ketek asing,Negatif,0,-3,28,5
lah dia sendirj ternyata join antek aseng nyawit tuh orang,Negatif,0,-2,60,10
tampak nya pemerintahan po prabowo lebih parah karena dia sendiri masih percaya data kosong dari bawaannya,Negatif,0,-1,107,16
yg menghancurkan konoha y mrdi jel s media terbesar mindset seluruh mrdi dikonoha berkiblat ke b rat maka sadar tidak sadar bisa dikatakan antek asing semu isi berita atau tulisan ipoleksosbudhankam mindset nya barat alias kaki tangan voc jilid,Negatif,0,-1,252,38
halo tempo siapa anda netral kah semoga netral anda org baik yg di gaji semoga halal rejekinya,Positif,2,2,99,15
saksikanlah siapa antek asing sebenarnya,Negatif,0,-2,46,5
gerindra ga mau mulai desain seragam sama hugo boss nih udah saatnya loh,Netral,1,0,73,13
p residen k oruptor i ndnesia pki adalah antek asing pasti musuh semua rakyat ind,Negatif,0,-5,90,13
yang komen dengerin dulu yg di sebut antek asing itu adalah orang yg dengan tujuan merusak undonesia utk kepentingan asing yg tidak bertanggung jawab,Negatif,0,-4,149,24
antek antek asing nunjuk ke muka sendiri,Negatif,0,-3,40,7
semoga tempo tetap konsisten dg stylenya ini tempo tuh ibarat partai oposisi pemerintah,Positif,2,1,92,14
wkwkwkwkw makin kembali ke orba,Negatif,0,-1,39,6
mantap jendral,Positif,2,1,16,3
padahal yg antek asing adalah si wowo sendiri,Negatif,0,-3,49,9
ormas besar besar motor antek asing,Negatif,0,-2,46,6
media mainstream antek asing juga ini,Negatif,0,-2,40,7
kalo mau jujur gentleman tempo sendiri kan medianya antek asing,Negatif,0,-2,71,13
kukira macan eh ga tau nya s oyen,Netral,1,0,33,8
keren banget mereka bisa ngobrol dan keliatan santai sambil membahas hal yang bisa merenggut kebebasan seseorang menjadi individu,Positif,2,1,131,18
heiii antek antek asong,Negatif,0,-2,23,4
jgn ada narasi lg klo nanti prabowo dijatohin gara jokowi mulut dia sndri udah bs bikin dia jatoh,Netral,1,0,101,18
tipikal diktator dan pemimpin cult itu menyalahkan orang lain atau menggunakan jargon supaya pengikutnya tidak berpikir kritis dan kekuasaannya tidak hilang,Positif,2,1,157,21
hmmmmmmmm,Netral,1,0,9,1
antek asing y pejabat itu sndiri termasuk prabowo,Negatif,0,-2,51,8
terima kasih voter,Positif,2,1,21,4
prabowo gemoy ya,Netral,1,0,16,3
yg ada itu maling teriak maling,Negatif,0,-3,31,6
mohon dibuatkan juga undang undang anti antek asing dan aseng serta undang undang anti antek oligarkhi,Negatif,0,-6,103,14
gelar tiker disini biar pinter,Netral,1,0,34,5
tempo media asing ternak goerge soros,Negatif,0,-2,37,6
ketemu komentar orang pintar,Netral,1,0,28,4
teriak antek asing tp prabowo mlh gabung board of piss nya trump israel,Negatif,0,-5,74,13
antek asing tuh antek asing yang setuju bergabung di dewan perdamaian donal bebek,Negatif,0,-3,81,13
antek asing aliran dana dari mdif milik zionis yahudi george soros keppada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,192,31
klau gak mau di kritik jngan lah jadi pejabat atau presiden jadi peternak aja kayak geng solo jdi peternak skrang,Negatif,0,-2,116,20
inti dasarnya rezim ini cuma mau membungkam media dan semua yg mau mengkritik rezim ini menurut pendapat saya lho ya,Negatif,0,-1,125,21
antek asing aliran dana dari mdif milik zionis yahudi george soros kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak teerjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,192,31
antek asing aliran dana dari mdif milik zionis yahudi george soros kepada tempo cek apa ittu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,192,31
musuh bersama musuh yg ada di pala kau doang kali,Negatif,0,-2,52,11
lihat sendiri presiden siapa yg antek asing,Negatif,0,-2,44,7
intinya kalo ga sejalan sm pmerintah diangga antek aseng menuju orde baru jilid,Negatif,0,-2,84,13
tidak logis ngomong prabowo,Netral,1,0,28,4
berarti kritikan bagi suatu kebijakan pemerintah dikenakan uu dis informasi gimana pula kalau pemerintah yg melakukan disinformasi semua itukan informasi propaganda kan sudah ada uu ite buat tempo,Netral,1,0,200,28
mpr fokios uu untuk menjerat kaki tangan asenh baser dan penjilad yg membuat hukum,Netral,1,0,82,14
apa harus masyarakat yg ngusir,Netral,1,0,30,5
biadab morowali imip,Netral,1,0,23,4
antek asing aliran dana dari mdif milik zionis yahudi george soros kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasii di tempo,Negatif,0,-8,192,31
antek asing aliran dana dari mdif milik zionis yahudi george soros kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,191,31
antek asing aliran dana dari mdif milik zionis yahudi geoge soros kepada tempo cekk apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,191,31
antek asing aliran dana dari mdif mmilik zionis yahudi geoge soros kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,191,31
antek asing aliran dana dari mdif milik zionis yahudi geoge soros kepada tempo cek apa itu mdif ssiapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,191,31
presiden hrs banyak minum obat spy nggak ngompyang terus,Netral,1,0,56,9
antek asing aliran dana dari mdif milik zionis yahudi geoge soros kepada tempo cek apa iitu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,191,31
antek asing aliran dana dari mdif milik zionis yahudi geoge soros kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnyya apa motif dia berinvestasi di tempo,Negatif,0,-7,191,31
antek asing aliran dana dari mdif milik zionis yahudi geoge soros kepada tempo cek apa itu mdif siapa itu george soros seeperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,187,31
antek asing aliran dana dari mdif milik zionis yahudi geoge soros kepaada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,191,31
anntek asing aliran dana dari mdif milik zionis yahudi geoge soros kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-6,191,31
antek asing aliran dana dari mdif milik zionis yahudii geoge soros kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-6,191,31
antek asing aliran danaa dari mdif milik zionis yahudi geoge soros kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,191,31
antek asing aliran dana dari mdif milik zionis yahudi geoge soros kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,190,31
antek asing aliran dana daari mdif milik zionis yahudi geoge soros kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,191,31
antek asing aliran dana dari mdif miilik zionis yahudi geoge soros kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,191,31
antek asing aliran dana dari mdif milik zionis yahudi geoge soros kepada tempo cek aapa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,191,31
antek asing aliran daana dari mdif milik zionis yahudi geoge soros kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,191,31
justru tempo adalah benteng pertahanan dan yg mencerdaskan kami rakyat kecil teriak antek asing dirinya sendiri kali antek asing,Negatif,0,-3,128,17
antek asing alliran dana dari mdif milik zionis yahudi geoge soros kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,191,31
antek asing aliran dana dari mdif milik zionis yahudi geoge soros kkepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-7,191,31
kenapa dibilang narasi apa tdk nampak musuh asing sdh di depan mata spt as yg kelabakan cari sumber daya akhirnya nyaplok negara tetangga apa nggk nampak tuh musuh didpn mata masak nunggu asing nyerang gt baru di bilang musuh ya skrg perangnya lebih canggih lg lebih halus perang ekonomi budaya buka mata buka pikiran,Negatif,0,-6,336,54
iyo bener biar tdk di acak acak seperti iran,Negatif,0,-1,44,9
antek asing aliran dana dari mdif milik zionis yahudi geoge sooros kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-6,191,31
antek asing aliran dana dari mdif milik zionis yahudi geoge soross kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-6,191,31
antek asing aliran dana dari mdif milik zionis yahuudi geoge soros kepada tempo cek apa itu mdif siapa itu george soros seperti apa sepak terjangnya apa motif dia berinvestasi di tempo,Negatif,0,-6,191,31
