tanggal_baca,id,clean_author,clean_text,score,sentiment
2026-01-31 07:00:00,UgzUqZzxxuJBfELrXfB4AaABAg,@dannnsyak,Sekarang dia gabung sm Pembantai penhjshat sisetanyshu dan Donal bebekl😢,0,Netral
2026-01-31 07:00:00,Ugxx_QufljJivtxpxe14AaABAg,@gimanbudiono6167,"Antek asing..antek asing....hooy ada antek asing, itu propaganda siapa sih...sepertinya sering disuarakan orang yg takut sama pemimpin  asing saat ketemu langsung...Sampai sedih sebagai anak bangsa dengar nya saat dia manggil presiden lain dengan kata ""Sir""..Huh banyak omon kamu.",-7,Negatif
2026-01-31 07:00:00,UgyuAHwoBXDMp4YYBjZ4AaABAg,@Ansyari4960,"sepakat antek asing itu adalah musuh bersama, tapi membuat undang undang penanggulangan anter asing itu tidak perlu kali...sebab itu bisa dipakai oleh siapa yg berkuasa untuk membungkam kebebasan berbicara dan berpendapat yg ujungnya membunuh demokrasi itu sendiri. biarkan informasi itu berkembang bebas, kan pemerintah ada intelijen untuk menanggulangi adanya pergerakan antek2 asing itu. yg terpenting itu pemerintah menjalankan  aturan yang berlaku  dan menempatkan hukum sebagai panglima tertinggi dlm bernegara dan itu bisa dipastikan rakyat akan mendukung dan hidup damai walau masih hidup dlm kekurangan.",-4,Negatif
2026-01-31 07:00:00,UgwTbpu0KAKBlMpfatl4AaABAg,@RuliAlexander-m9y,"Propaganda itu dilakukan oleh negara asing, menerut hemat saya upaya untuk menghadirkan undang"" itu perlu untuk menghadapi mereka, tentunya undang"" itu untuk konter propaganda asing",-4,Negatif
2026-01-31 07:00:00,UgyCiO_AEQTR21tvL1l4AaABAg,@ygnong,Video negara lain tgl 6Januari2026 di Hambalang itu Georgia/Moldova yg masih besar pengaruh/campur-tangan rezim Rusia yg Otoriter menghambat negara di Eropa Timur bergabung ke EU ?,-1,Negatif
2026-01-31 07:00:00,UgzxbiimhOGHEMyDpVB4AaABAg,@darthmeowder,"Bukan Tempo yg menjelek2kan pemerintah, tapi pemerintah yg menjelek2kan diri mereka sendiri. Ini menurut keyakinan saya.",0,Netral
2026-01-31 07:00:00,UgxmnrrCcf8dl9y-KLl4AaABAg,@Ardi364,"Presiden Prabowo keliru mengidentifikasi musuh, masa rakyatnya sendiri dijadikan musuh ? Sungguh absurd. 🗿",-2,Negatif
2026-01-31 07:00:00,UgwN7K5q8pXtvXjshzp4AaABAg,@iqbalfikri2689,"Presiden yang pandainya hanya omon - omon kosong ...
Tubuhnyapun sudah menunjukkan: ""Otong kosong nyaring bunyinya ...""",-4,Negatif
2026-01-31 07:00:00,UgwQDod_O5YIArkeT694AaABAg,@mulyasaadi6106,Nyawit sekali memang. 😒,0,Netral
2026-01-31 07:00:00,UgxmMq7Gw5yllzT44fd4AaABAg,@ariadwipangga-h7q,"Salam Bahagia 😊 
Enakan berteman dengan VOC daripada antek asing 🤫🤭😲😳😁🙏",-2,Negatif
2026-01-31 07:00:00,Ugy6ME0uOZIEKcoy8qd4AaABAg,@widamandhaganugraha6140,NPD,0,Netral
2026-01-31 07:00:00,UgzEyGYFJB0QzU1P2e54AaABAg,@katakrentong,Setahuku yea inilah yang pro AN AS.,0,Netral
2026-01-31 07:00:00,UgyCnjd7HftOGQ3ycjp4AaABAg,@mujomuhammadjabyatim,Prosedur masuk nya Imigran Yaman ke Indonesia juga perlu diperiksa surat2 nya.,0,Netral
2026-01-30 07:00:00,Ugya51n9aD0Fs1P_54p4AaABAg,@FARRENWAR,"antek asing antek aseeng, lu kali wo yang antek asing wkookwowkoko, suka2 lu dah",-4,Negatif
2026-01-30 07:00:00,UgzT5LS4foH1ly3Kd_p4AaABAg,@YanfarakhanPoppo,"Semoga saja jika makin banyak warga negara asing yg suka atau menjadikan Indonesia sebagai pilhan negara yg favorit untuk didatangi, kita memang bisa merasa bangga, tapi juga tidak terlena dgn fenomena tsb ( yg bisa lupa / tidak waspada dgn situasi) karna baru saja ada berita tentang tertangkap nya imigran seorang pria Rumania di Bali karna dia telah jadi buronan di seantero Eropah terkait kasus perampasan sadis dan pembunuhan berencana bersama dgn teman nya dua orang yg sdh lebih dulu tertangkap di Irlandia dan Skotlandia, Akupun salut dgn kesigapan aparat intelijen kita, Terbayang kalau pelaku kriminal tsb bisa lama luntang lantung di NKRI karna bisa saja dia nekat melibatkan penduduk kita kembali berbuat kejahatan...",0,Netral
2026-01-30 07:00:00,Ugxx0e7vao5GEn9Wo8l4AaABAg,@IvoM-f6b,"Teriak2 sikat antek asing, pada saat yang sama menjilat asing. Kenapa harus bermuka dua...",-4,Negatif
2026-01-30 07:00:00,UgxxV4DQAZ0jdZXcPaN4AaABAg,@randisuwardin6478,"gimana ya cara ngasih tahu teman"" bahwa pilihan politik itu mempengaruhi hidup, sempet kesel denger siapapun pemerintahnya hidup gini"" aja",0,Netral
2026-01-30 07:00:00,Ugww5obIf3maOytGaht4AaABAg,@agusbintoro8684,Jadi narasi at propaganda asing dilakukan secara sadar at tidak sadar dapat merusak suatu negara dari dalam. Propaganda at narasi bisa dilakukan jelas jelas dilakukan oleh sumber negara tapi bisa jadi tidak dilakukan negara tapi kelompok yang punya  kepentingan  negara at mungkin pendapat Ahli dari suatu negara yang tak mewakili negara namun pendapat membangun narasi yang jelek bagi negara lain.Apakah ini dibendung dg hukuman at perlawanan dg data saja.,0,Netral
2026-01-30 07:00:00,UgxFXShRTb0A9Kevsuh4AaABAg,@muhabyqosim5164,"FB sudah melakukan itu dg adanya notice ""bahwa komentar anda tidak terlihat di negara tertentu""",0,Netral
2026-01-30 07:00:00,UgxKVuy--OVzYLqcdyR4AaABAg,@muhabyqosim5164,Warning HRS klo Indonesia jadi tibet jilid 2 sudah terbukti di morowali  dan maluku,1,Positif
2026-01-30 07:00:00,UgwT6pDDc4Ei10lzdOt4AaABAg,@BregasAdji,"Pelaku kejahatan HAM dipercaya jadi presiden bro😂😂😂. Tuh danantara Dalio bukankah orang asing. Thaksin itu akhirnya dipenjara gitu jadi dewan nasihat 😂😂. Maunya Prabowo itu kita itu harus Manut kayak Boby kucingnya. Lapar tinggal ngeong lalu diberi 😂😂. Ingin dimanja ngeong. Jadi ingin diberi jabatan Prabowo ya harus mau jadi buzzer mereka 😂😂. Yang saya heran Ronal Tanur pembunuh dengan cara melindas pakai mobil malah dapat remisi, padahal sudah terbukti bersalah Hakimnya. Malah tersangka dapat remisi. Logika macam apa itu😂😂. Jadi pembebasan Ronal Tanur ternyata sudah diatur oleh Ibu Ronal Tanur dan pengacaranya dan terbukti Korupsi 😂. Eh Presiden memberikan REMISI karena berlaku sopan ketika berbicara dengan Presiden 😂😂. Edan 😂😂",-1,Negatif
2026-01-30 07:00:00,UgzgOGr61bGIQYJz4xh4AaABAg,@ayusulistiyani1768,"Ajak ke psikiater aja, biar bisa diatasi dengan baik.",1,Positif
2026-01-30 07:00:00,Ugzdrql8xP46l_pLY_N4AaABAg,@ThonilWirawan,"Bahas benix dong,",0,Netral
2026-01-30 07:00:00,UgyaXeNdlDNFxIrnBfF4AaABAg,@ronibetas3439,rambutnya baru model antek antek aseenggg,-2,Negatif
2026-01-29 07:00:00,Ugz5UH00RXaNg0TU_jB4AaABAg,@muhammadirfanhidayatullahp86,"Tempo dapat dana berapa tiap tahun dari George Soros ? Spill dong

Kok bisa sampe mau buat propaganda, ngehancurin negara sendiri, berapa sih bayarannya, penasaran asli",-3,Negatif
2026-01-29 07:00:00,Ugzye1vOPmdGRTnDEbB4AaABAg,@muhammadirfanhidayatullahp86,"Menurut keyakinan saya, kalian ini Media provokator..
Agen intelijen berkedok kebebasan pers, pemerintah sedang berusaha membangun negara, selalu aja media ini cari cari bahan utk provokasi masyarakat.. ga akan pernah percaya lagi sama media2 seperti tempo ini..

Media2 seperti inilah yg membuat propaganda yg mengakibatkan kerusuhan di berbagai negara, membuat negara tidak stabil..",1,Positif
2026-01-29 07:00:00,Ugw6_2VEp-WSP3M-9MJ4AaABAg,@jitopasaman1490,Owalah TEMPE BACEM.,0,Netral
2026-01-29 07:00:00,UgyW2ls9T0xQbKA8RL54AaABAg,@jitopasaman1490,Kalau ada Media antek asing juga harus di sikat dari bumi pertiwi. 😂😂😂. Karna diam2 ada beberapa media peliharaan nya soros,-3,Negatif
2026-01-29 07:00:00,UgyUf-vbn0rDNshuFy14AaABAg,@AltioraQuaeriteCH,"Dia pake cara Trump, cara fasis berkuasa. Dia sendiri penjilat AS.",-2,Negatif
2026-01-29 07:00:00,UgzYEYGM2UbuizO0lJ94AaABAg,@aminreaves,Antek dajjal teriak antek asing,-4,Negatif
2026-01-29 07:00:00,UgyQScAnMfW83ZAHssR4AaABAg,@minganmingan6084,prabowo hanya omon 2 faktanya nol besar tida terbukti,0,Netral
2026-01-29 07:00:00,Ugz3vqV_Zb1LhWRiE_t4AaABAg,@kertaskarbon-14,antek asing itu yg setor uang trilyunan ke dewan2an perdamaian Trump bukan🤣,-3,Negatif
2026-01-29 07:00:00,UgyyoW3T41XQtpTVdwh4AaABAg,@arthurhutauruk5355,Antek asing itu ada tergantung perspektif anda menilai yang mana .sekarang maling berteriak maling,-4,Negatif
2026-01-29 07:00:00,UgxKyI69SC7bDj5SkBV4AaABAg,@666-pluto,"Sebut wo, antek asing itu siapa? Negara mana aja? Ahahaha... jadi pemimpin kok anti kritik. Besok pilih gen z aja udah. Boomers suruh pensiun 😂",-4,Negatif
2026-01-29 07:00:00,UgzaEyoSBWMt1RZKjkJ4AaABAg,@Anto1983-vb8oh,sedang mencoba membungkam,-1,Negatif
2026-01-29 07:00:00,Ugy7ATtAHX58BIooGvV4AaABAg,@agusriyanto891,Mbah wowo sendiri yg antek asing...buktinya malah tunduk kepada kakek trump,-3,Negatif
2026-01-29 07:00:00,UgxjZkcYljUNnwRlB-p4AaABAg,@heruwidyana8380,Jangan sampai kejadian di Minneapolis terjadi di Indonesia tercinta ....,-1,Negatif
2026-01-29 07:00:00,UgwUwaeeUmV-vRrkUGZ4AaABAg,@nendipermana5000,"Dia yang paling teriak anti antek asing, tapi sekarang dia yang jadi antek nya donald bebek dan setannyaho. bahkan rela bayar mahal buat gabung kelompok mereka, hampir 17 T.
Namanya juga presiden omon-omon, semuanya tersedarh dia, mumpung berkuasa, dan bahkan persiapan melanggengkan kekuasaanya.",-6,Negatif
2026-01-29 07:00:00,UgxEUH-bvSu2EHNgbaJ4AaABAg,@irwansyamsuddin8988,"kalau ada antek antek asing siapa,tangkap,pataaaaahkan ,umumkan..., omon omon trusss....kerjA lebih baik dari pada orasi orasi yg membosankan buru itu pencapaian 8% pertumbuhan ekonomi indonesia!!!!",-4,Negatif
2026-01-29 07:00:00,Ugxzimxpcvjc0tcPONh4AaABAg,@peacemaker2510,Sebarkan berita yg positif untuk energi positif Indonesia,0,Netral
2026-01-29 07:00:00,Ugx9f9FVQrKTEOAH_794AaABAg,@yogapratomo9787,justru orang-orang di sekeliling Prabowo- yg bisa menghancurkan ekonomi rakyat 😁😁😅,0,Netral
2026-01-29 07:00:00,UgzJBC5iTLR8DcQpK4l4AaABAg,@cillabaeung3854,"Koar koar antek asing, eh tapi bayar miliaran buat gabung PBB buatan Donald Trump. Dari dulu ketujuh presiden Indonesia ga mau yang mau buka hubungan diplomatik dengan ISRAEL, sekarang tiba tiba kenapa presiden peduli keamanan Israel. Yang menjajah dan buat onar itu ISRAEL.
INI JUDULNYA ANTEK NETANYAHU ALIAS PEMUJA ISRAEL",-9,Negatif
2026-01-29 07:00:00,UgzJBC5iTLR8DcQpK4l4AaABAg.ASVc6lykGSgASVmH8eflAE,@LisannyaGaib,"Bukan milyar lagi, trilyun. 17T ilang buat bayar upeti",0,Netral
2026-01-29 07:00:00,Ugz0-IJa8RRX1440VMd4AaABAg,@Naufalghifari24,Rezim yang bilang antek asing biasanya adalah rezim yang selama dia berkuasa berbuat otoriter dan korup. Narasi seperti itu adalah ilusi palsu untuk menarik simpati rakyat demi legitimasi kekuasaan yang padahal rakyat tidak m memahami substansi kebijakan apa yang dibawa oleh pemerintah,-4,Negatif
2026-01-29 07:00:00,UgwRcYXZVRGldKLlky94AaABAg,@triasandayani3713,Kita harus percaya adanya antek asing.siapa yg membuat kisruh negara2 di dunia ini?KLO bukan negara yg tidak ingin Indonesia maju. KLO temp bukan antek asing ya g usah bingung,-1,Negatif
2026-01-29 07:00:00,Ugz6Cd51oRwFkJEuvCl4AaABAg,@margonopurwodadi1363,Paranoid takut akan cermin sendiri,-1,Negatif
2026-01-29 07:00:00,UgwbXObkry_jY6HApTZ4AaABAg,@belacan_gorng,"Wah 
Itu terjadi sih udh gak asing lah, ulang karna pemikiran rakyat sendri sih
Liat Iran  di demo besar2an kena masyarat, malah di bunuh sampe 2000an ningal, dalih pemerintah apa antek asing padahal menyelamat hegemoni nya, dan rakyat kita gak ada tu yg protes pemerintah Iran yg udh membatai rakyat nya sendri malah menyetujui narasi pemerintah Iran, dan Prabowo berkaca di situ kalau ada demo besar2an, enak dia mengangkat orng demo tu degan tuduhan antek asing",-11,Negatif
2026-01-28 07:00:00,UgyMhYGWRRc83y-ptJh4AaABAg,@evan5808,"Bodo amat mo negara ini mo perang mo hancur jg alhamdulilah. Krn ngapain jg rakyat hrs susah2 jagain negara ini dr penjajah asing, toh mereka pemerintah kt jg penjajah di negara sndiri. Sejarah Negara ini bs merdeka krn rakyatnya terjun kemedan perang, krn itulah negara asing takut, segan utk kembali menjajah negara kt. Tapi krn sifat serakah pemerintah, dan mereka merasa negara ini sdh aman. Jd mereka meninggalkan&melupakan rakyat terutama(rakyat miskin). Jd smg aja bnr2 terjadi perang dunia. Krn sy yakin rakyat sangat senang krn rakyat jg udh capek, lelah hidup dinegara miskin yg pemerintahnya hanya memkirkan diri sndiri&kpentingan kel mereka aja. Jd klo perang nanti, ya sruh preaiden, DPR, TNI, POLRI dan pejabat2 pemerintah aja lah yg turun ke medan perang, saya jamin rakyat gak akan sanggup dan mau turun ke mwdan perang krn mereka lapar dan terlalu miskin utk turun membantu ke medan perang. Monggo silahkan klian yg merasa keluarga pejabat, menteri dan dinas2 terkait saatnya klian membalas jasa negara yg sdh memberikan kebutuhan2 klian selama ini. 😂😂",-9,Negatif
2026-01-28 07:00:00,UgwF5RMZ-qpI8Qb3VLF4AaABAg,@adisusilo9327,"Judulnya ""antek asing triak antek asing""",-4,Negatif
2026-01-28 07:00:00,UgzNdMrHnDVaSMhkpRV4AaABAg,@TiopanPanggabean,"Tim Tempo bahas Kamboja lagi dong, ini ada sekitar 2400 lebih warga kita di KBRI Phonm Phen yg menunggu nasib.. Dan ada wacana judol dan scam akan pindah ke Sri Lanka atau Timor-Leste",0,Netral
2026-01-28 07:00:00,Ugw9IUxf_Wv5Rz8bfKZ4AaABAg,@KhairilAnwar-u2k1t,Hahahaha Indonesia korupsi maju sampai kiamat,0,Netral
2026-01-28 07:00:00,UgyDr773-rYHgBY3Xl54AaABAg,@kuncungbawuk5969,Lengserkan segera biar ga tambah parah,-1,Negatif
2026-01-28 07:00:00,UgyVrFLQuoQTVQE9MFl4AaABAg,@AzizahAzizah-v4d,"Sy sarankan ya...lebih baik tiarap az..bilangi bos kaliyan..
Bisa jadi Tidak lama lagi akan ada informasi aliran uang asing ke tempo...dan rakyat dibuat marah ke tempo..lalu di segel rakyat lah..
Trus kaliyan bisa apa???😂😂😂",0,Netral
2026-01-28 07:00:00,Ugwzkk3SLyW9qoIuPtF4AaABAg,@AzizahAzizah-v4d,Tempo kepanasan..merasa kali 😂😂😂,0,Netral
2026-01-28 07:00:00,UgzKsqdNYd-WoG_WfTB4AaABAg,@satubarkah3904,Musuh brsm ya jokowi dan gerombolannya. Yg publik blm phm apakah prabowo bagian dr termul bkn....!!??,-1,Negatif
2026-01-28 07:00:00,UgzBwVgGyVlc7ksjCFF4AaABAg,@sinsyafiuddin3379,Nanti akan ada masanya rakyat indonesia bilang salah satu presiden terbaik indonesia adalah prabowo! Dan 3 orang itu tidak lebih baik dari prabowo,1,Positif
2026-01-28 07:00:00,Ugwo0Wg4k8AzLm2RzHp4AaABAg,@ariwidianto6504,Antek setan 😂,-1,Negatif
2026-01-28 07:00:00,Ugzt-HoE6PGL7sU5soN4AaABAg,@LixBorea,"1 Agustus one piece trend
4 Agustus USSOCOM Amerika kasih penghargaan ke Prabowo
25 Agustus Pagi trend buzz positivity puan
25 Agustus siang agenda anomali

👀",0,Netral
2026-01-28 07:00:00,Ugy9necazRAfceusD-d4AaABAg,@alvenskirafiola3234,aki2 hahah pake cara jadul padahal satu negara udah tau dia penjahatnya,0,Netral
2026-01-28 07:00:00,UgzVfTj1uELElIVGPf54AaABAg,@nugioism2273,Memang antek asing,-2,Negatif
2026-01-28 07:00:00,Ugx1Ad9NdKCWhrnSyR54AaABAg,@AzizahAzizah-v4d,"Ngoceh tdk ada bukti...faktax yg hrs disampaikan...jgn ngomong katax...ckck
Bagusx cek gaji 3 orang ini..
Karyawan tetap atau outsourching...",0,Netral
2026-01-28 07:00:00,UgxmD58I8J8k2a0gRC54AaABAg,@steven658,"orang orang *** yang bikin peraturan tapi tidak pernah dijalankan, sungguh pekerjaan yang mubazir",0,Netral
2026-01-28 07:00:00,UgxiHmxkLcjtXwPvGYx4AaABAg,@adipradana3068,That oldman,0,Netral
2026-01-28 07:00:00,UgzGiRTMHBaI8GFK_-14AaABAg,@kangsandipetot,"Sekarang malah gabung Board of Peace, jadi antek asing di Palestina 😏",-1,Negatif
2026-01-28 07:00:00,UgzsyUej0Dm5sFx7XEV4AaABAg,@Saya-q3v,Heyy antek asing yg berkomplot dengan trump..,-3,Negatif
2026-01-28 07:00:00,UgwcPbwyDtRS4zHRNcZ4AaABAg,@pingpong-s1f,"antek asingnya ya si gemoy siapa lagi,,,😅....",-2,Negatif
2026-01-28 07:00:00,Ugz5Srxu8BLO8xQYXeV4AaABAg,@gaktau-uuu,"""ant tech ant tech"" ahh sing",-2,Negatif
2026-01-28 07:00:00,UgzgH7sNPtr4EB7IU-J4AaABAg,@OmSendi88,Segera Brantas dan Ringkus semua Antek Asing..ya jelas ...para Media yg sering bikin Gaduh lmpormasi yg tak berdasar dan sering profokasi memicuh perpecahan dan penerima Dana Asing dg kepentingan Terselubung kepentingan gelap yg dilakukan CIA AS Soros dan Anteknya yg jelas Strategi dan Proyek SOROS,-3,Negatif
2026-01-28 07:00:00,UgxAgxnY73QjGT4K7K14AaABAg,@beelzebub3210,egy mana ini?,0,Netral
2026-01-28 07:00:00,UgzTawGYJUjRYBXVYfF4AaABAg,@zakky6409,"lah dia sendiri ngejilat Donald Trump 🤣
Minta Dikenalin ke anaknya Trump.. trus sekarang malah gabung Organisasi Bentukan Trump... gak gratis loh itu, ada iurannya sampe triliunan rupiah",-4,Negatif
2026-01-28 07:00:00,Ugx5PygIXHRXNpu-2Pt4AaABAg,@h1chae-mx,"""jadi pot... bunga""
""jadi pulpen teddy""

ya ampunnn sehat-sehat kak chicha😭😭😭",0,Netral
2026-01-28 07:00:00,Ugzci70gELWlgA5SKqN4AaABAg,@nadilalaode4915,Prabowo antek asing !,-2,Negatif
2026-01-28 07:00:00,UgwVZomurUQDrgkAFmB4AaABAg,@bapakethole999,Semut di negara asing kelihatan. Antek asing di pelupuk mata tidak kelihatan.,-3,Negatif
2026-01-28 07:00:00,UgwI3EdHJUPE0nZDhdJ4AaABAg,@Jaimehuhu,"studio baru nich..lebih enak dilihat, closed-up makin mudah dicerna, no unnecessary distraction, mantap",1,Positif
2026-01-28 07:00:00,UgxXZHHqpZJ6W0F91vJ4AaABAg,@bambangharymurti6980,"Bagaimana kalau yang mengeluarkan ""disinformasi"" itu pejabat pemerintah sipil atau militer?",-1,Negatif
2026-01-28 07:00:00,UgwEQQiqp5SkIdJoDgV4AaABAg,@ardikurniawan5987,"jaman jokowi musuh bersama adalah radikal radikul
jaman prabowo musuhnya antek antek asing
wkwkwk",-4,Negatif
2026-01-28 07:00:00,UgyssQfkCy6BYrobUUt4AaABAg,@yamiRic,"Tetap semangat, Tempo",0,Netral
2026-01-28 07:00:00,UgwuAa6ceWHzAB0S_NZ4AaABAg,@jdtmanggarai,"Angkat topi sama Tempo, kok bisa yah dapat info A1 dari istana.",0,Netral
2026-01-28 07:00:00,UgxcwRa0TG9L2_25hjp4AaABAg,@TheHigherSky,Si omon omon lah antek asing,-4,Negatif
2026-01-28 07:00:00,Ugxz62s8a0FCVeH27d94AaABAg,@gilangputraperkasa4470,"malah join antek"" aseng 🤣",-2,Negatif
2026-01-28 07:00:00,UgyI1cuUEcAflDmoTS54AaABAg,@tolekeling8324,Turunkan rezim omon omon & fufufafa 🙂,-2,Negatif
2026-01-28 07:00:00,Ugw3zPp79mW5OLosiDR4AaABAg,@tolekeling8324,Si omon omon 😂😅😂,-2,Negatif
2026-01-28 07:00:00,Ugx7Gcvr-D0H0dqP13Z4AaABAg,@hmmmm6157,Yang jadi anteknya trump kok gak dibilang antek asing ya. Emang trump orang indonesia ya?,-5,Negatif
2026-01-28 07:00:00,UgzJBrottOrV-Y0J76h4AaABAg,@kosnantonanto4646,"Kita lihat bareng2...
Arahnya dah bener pak prabowo..
Kadang media2 jg dibayar asing aseng...
Ayo ngaku",-2,Negatif
2026-01-28 07:00:00,UgyI05thlEAvs1jWVNZ4AaABAg,@CandraSanghyang,"Rakyat digiring2 supaya benci pada asing,aseng asong.(bisikan syaethon disekelilingnya. Dengan tujuan supaya rakyat berbalik mendukungnya untuk 2029. Padahal dibalik itu dia dan seisi istana berbondong2 antek asing, diam2 menjual semua kekayaan alam ke asing dan uangnya bukan untuk rakyat tapi dimasukkan ke gentong dananrara untuk membuayai sahwat politiknya dan main saham di luar negeri .keuntungan masuk kantong pribadi.  Uang negara dikuasai mutlak sama dinasti gerinda nanti diambil seCuil untuk bansos jelang dekat pemilu.modus yang terang2an diajarkan oleh suhunya mentornya.",-3,Negatif
2026-01-28 07:00:00,UgwXZaDCecjZppYSy2B4AaABAg,@alvajanuar1161,antara sepakat atau blank ? hihi,0,Netral
2026-01-28 07:00:00,UgznkZgZAbmWFeZnqS54AaABAg,@bagusasmorojati9688,Malu om sama Imam samudera,-1,Negatif
2026-01-28 07:00:00,UgyGzuDyNrMKJHSTlWB4AaABAg,@rendilovema,"Nationalist delegitimization strategy: strategi untuk mendeligitimasi kritik domestik dengan cara mengaitkannya pada musuh eksternal.

Fungsinya:
Mengalihkan isu dari substansi kritik (korupsi, konflik kepentingan, kebijakan)
Membingkai kritik sebagai ancaman kedaulatan, bukan sebagai kontrol demokratis
Menciptakan dikotomi “kita vs mereka”

Di sisi lain
NGO kecil, aktivis, dan media independen mudah diserang karena:
Tidak punya kekuatan koersif
Tidak punya legitimasi elektoral
Tidak bisa membalas dengan instrumen negara

Sementara kekuatan besar (asing atau domestik) tidak disebut “antek” karena:
Dibutuhkan untuk stabilitas kekuasaan
Dibutuhkan untuk investasi, pengakuan geopolitik, dan dukungan elite

Jadi label “antek asing” di sini menjadi alat politik untuk membungkam kritik.

Nasionalisme → alat retorika
Oligarki → mitra struktural
Kekuatan Asing → dirangkul, yg masalah jika mengganggu kekuasaan
Kritik → dibingkai sebagai ancaman negara

Inilah logika rezim kekuasaan yang membutuhkan musuh simbolik bersama untuk bertahan.",-18,Negatif
2026-01-28 07:00:00,UgydK7RxiqAszkg_eAZ4AaABAg,@socrates1796,ini efeknya kalo orang kebanyakan nyawit,0,Netral
